Date,Hour,Temperature,Humidity,Wind,Pressure,Precipitation,Condition
01/04/2025,6:30 AM,60ʡF,72ʡ%,9ʡmph,30.15ʡin,0.0ʡin,Cloudy
01/04/2025,6:53 AM,60ʡF,72ʡ%,12ʡmph,30.14ʡin,0.0ʡin,Cloudy
01/04/2025,7:53 AM,60ʡF,78ʡ%,12ʡmph,30.15ʡin,0.0ʡin,Light Rain
01/04/2025,8:53 AM,60ʡF,83ʡ%,12ʡmph,30.14ʡin,0.0ʡin,Cloudy
01/04/2025,9:53 AM,62ʡF,84ʡ%,10ʡmph,30.14ʡin,0.0ʡin,Cloudy
01/04/2025,10:53 AM,65ʡF,81ʡ%,14ʡmph,30.15ʡin,0.0ʡin,Cloudy
01/04/2025,11:53 AM,66ʡF,84ʡ%,13ʡmph,30.14ʡin,0.0ʡin,Cloudy
01/04/2025,12:53 PM,69ʡF,75ʡ%,17ʡmph,30.11ʡin,0.0ʡin,Cloudy
01/04/2025,1:53 PM,69ʡF,78ʡ%,14ʡmph,30.06ʡin,0.0ʡin,Cloudy
01/04/2025,2:53 PM,68ʡF,87ʡ%,10ʡmph,30.04ʡin,0.0ʡin,Cloudy
01/04/2025,3:53 PM,70ʡF,84ʡ%,13ʡmph,30.01ʡin,0.0ʡin,Haze
01/04/2025,4:45 PM,69ʡF,87ʡ%,10ʡmph,29.99ʡin,0.0ʡin,Cloudy
01/04/2025,4:53 PM,70ʡF,84ʡ%,10ʡmph,29.98ʡin,0.0ʡin,Cloudy
01/04/2025,5:53 PM,69ʡF,90ʡ%,12ʡmph,29.99ʡin,0.0ʡin,Cloudy
01/04/2025,6:53 PM,69ʡF,90ʡ%,12ʡmph,29.97ʡin,0.0ʡin,Cloudy
01/04/2025,7:53 PM,69ʡF,93ʡ%,10ʡmph,29.97ʡin,0.0ʡin,Cloudy
01/04/2025,8:53 PM,68ʡF,96ʡ%,9ʡmph,29.97ʡin,0.0ʡin,Mostly Cloudy
01/04/2025,9:53 PM,67ʡF,93ʡ%,9ʡmph,29.96ʡin,0.0ʡin,Fair
01/04/2025,10:53 PM,67ʡF,90ʡ%,8ʡmph,29.95ʡin,0.0ʡin,Partly Cloudy
01/04/2025,11:53 PM,67ʡF,90ʡ%,8ʡmph,29.93ʡin,0.0ʡin,Partly Cloudy
01/04/2025,12:53 AM,67ʡF,90ʡ%,10ʡmph,29.91ʡin,0.0ʡin,Fair
01/05/2025,1:53 AM,68ʡF,93ʡ%,13ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy
01/05/2025,2:53 AM,68ʡF,93ʡ%,13ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy
01/05/2025,3:53 AM,69ʡF,90ʡ%,9ʡmph,29.86ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,5:53 AM,69ʡF,87ʡ%,12ʡmph,29.84ʡin,0.0ʡin,Partly Cloudy
01/05/2025,6:31 AM,69ʡF,87ʡ%,10ʡmph,29.83ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,6:41 AM,69ʡF,87ʡ%,10ʡmph,29.83ʡin,0.0ʡin,Partly Cloudy
01/05/2025,6:53 AM,70ʡF,87ʡ%,10ʡmph,29.82ʡin,0.0ʡin,Partly Cloudy
01/05/2025,7:49 AM,70ʡF,88ʡ%,9ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,7:53 AM,69ʡF,90ʡ%,9ʡmph,29.84ʡin,0.0ʡin,Partly Cloudy
01/05/2025,8:53 AM,71ʡF,87ʡ%,13ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,9:53 AM,73ʡF,81ʡ%,18ʡmph,29.84ʡin,0.0ʡin,Cloudy
01/05/2025,10:53 AM,76ʡF,74ʡ%,17ʡmph,29.86ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,11:53 AM,77ʡF,69ʡ%,25ʡmph,29.87ʡin,0.0ʡin,Cloudy / Windy
01/05/2025,12:53 PM,78ʡF,66ʡ%,15ʡmph,29.84ʡin,0.0ʡin,Cloudy
01/05/2025,1:53 PM,78ʡF,64ʡ%,21ʡmph,29.79ʡin,0.0ʡin,Mostly Cloudy / Windy
01/05/2025,2:53 PM,80ʡF,60ʡ%,28ʡmph,29.74ʡin,0.0ʡin,Light Rain / Windy
01/05/2025,3:53 PM,77ʡF,69ʡ%,22ʡmph,29.73ʡin,0.0ʡin,Cloudy / Windy
01/05/2025,4:18 PM,73ʡF,79ʡ%,18ʡmph,29.76ʡin,0.0ʡin,Cloudy
01/05/2025,4:31 PM,68ʡF,90ʡ%,13ʡmph,29.77ʡin,0.1ʡin,Heavy T-Storm
01/05/2025,4:53 PM,68ʡF,93ʡ%,7ʡmph,29.77ʡin,0.2ʡin,Light Rain with Thunder
01/05/2025,5:34 PM,63ʡF,72ʡ%,17ʡmph,29.81ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,5:53 PM,63ʡF,65ʡ%,17ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy
01/05/2025,6:53 PM,60ʡF,51ʡ%,16ʡmph,29.88ʡin,0.0ʡin,Partly Cloudy
01/05/2025,7:53 PM,55ʡF,47ʡ%,23ʡmph,29.94ʡin,0.0ʡin,Fair / Windy
01/05/2025,8:53 PM,51ʡF,46ʡ%,26ʡmph,30.00ʡin,0.0ʡin,Fair / Windy
01/05/2025,9:53 PM,49ʡF,48ʡ%,22ʡmph,30.03ʡin,0.0ʡin,Fair / Windy
01/05/2025,10:53 PM,46ʡF,44ʡ%,22ʡmph,30.06ʡin,0.0ʡin,Fair / Windy
01/05/2025,11:53 PM,44ʡF,43ʡ%,26ʡmph,30.09ʡin,0.0ʡin,Fair / Windy
01/05/2025,12:53 AM,41ʡF,47ʡ%,23ʡmph,30.11ʡin,0.0ʡin,Fair / Windy
01/06/2025,1:53 AM,39ʡF,49ʡ%,23ʡmph,30.12ʡin,0.0ʡin,Fair / Windy
01/06/2025,2:53 AM,37ʡF,52ʡ%,16ʡmph,30.15ʡin,0.0ʡin,Fair
01/06/2025,3:53 AM,35ʡF,57ʡ%,16ʡmph,30.17ʡin,0.0ʡin,Fair
01/06/2025,4:53 AM,34ʡF,56ʡ%,16ʡmph,30.18ʡin,0.0ʡin,Fair
01/06/2025,5:53 AM,33ʡF,59ʡ%,15ʡmph,30.19ʡin,0.0ʡin,Fair
01/06/2025,6:53 AM,32ʡF,61ʡ%,17ʡmph,30.23ʡin,0.0ʡin,Fair
01/06/2025,7:53 AM,31ʡF,61ʡ%,15ʡmph,30.26ʡin,0.0ʡin,Fair
01/06/2025,8:53 AM,32ʡF,59ʡ%,21ʡmph,30.28ʡin,0.0ʡin,Fair / Windy
01/06/2025,9:53 AM,33ʡF,59ʡ%,23ʡmph,30.30ʡin,0.0ʡin,Fair / Windy
01/06/2025,10:53 AM,36ʡF,52ʡ%,22ʡmph,30.32ʡin,0.0ʡin,Fair / Windy
01/06/2025,11:53 AM,39ʡF,50ʡ%,17ʡmph,30.33ʡin,0.0ʡin,Fair
01/06/2025,12:53 PM,40ʡF,49ʡ%,21ʡmph,30.30ʡin,0.0ʡin,Fair / Windy
01/06/2025,1:53 PM,42ʡF,45ʡ%,17ʡmph,30.27ʡin,0.0ʡin,Fair
01/06/2025,2:53 PM,45ʡF,42ʡ%,17ʡmph,30.25ʡin,0.0ʡin,Fair
01/06/2025,3:53 PM,45ʡF,42ʡ%,15ʡmph,30.24ʡin,0.0ʡin,Fair
01/06/2025,4:53 PM,46ʡF,40ʡ%,15ʡmph,30.25ʡin,0.0ʡin,Fair
01/06/2025,5:53 PM,44ʡF,42ʡ%,15ʡmph,30.25ʡin,0.0ʡin,Fair
01/06/2025,6:53 PM,42ʡF,47ʡ%,12ʡmph,30.28ʡin,0.0ʡin,Fair
01/06/2025,7:53 PM,41ʡF,49ʡ%,12ʡmph,30.30ʡin,0.0ʡin,Fair
01/06/2025,8:53 PM,41ʡF,47ʡ%,12ʡmph,30.32ʡin,0.0ʡin,Fair
01/06/2025,9:53 PM,40ʡF,49ʡ%,13ʡmph,30.31ʡin,0.0ʡin,Fair
01/06/2025,10:53 PM,39ʡF,46ʡ%,9ʡmph,30.34ʡin,0.0ʡin,Fair
01/06/2025,11:53 PM,38ʡF,47ʡ%,8ʡmph,30.35ʡin,0.0ʡin,Fair
01/06/2025,12:53 AM,37ʡF,48ʡ%,9ʡmph,30.35ʡin,0.0ʡin,Fair
01/07/2025,1:53 AM,37ʡF,44ʡ%,9ʡmph,30.33ʡin,0.0ʡin,Fair
01/07/2025,2:53 AM,36ʡF,44ʡ%,14ʡmph,30.35ʡin,0.0ʡin,Fair
01/07/2025,3:53 AM,35ʡF,46ʡ%,13ʡmph,30.33ʡin,0.0ʡin,Fair
01/07/2025,4:53 AM,34ʡF,50ʡ%,7ʡmph,30.34ʡin,0.0ʡin,Fair
01/07/2025,5:53 AM,33ʡF,54ʡ%,8ʡmph,30.35ʡin,0.0ʡin,Fair
01/07/2025,6:53 AM,33ʡF,54ʡ%,8ʡmph,30.35ʡin,0.0ʡin,Fair
01/07/2025,7:53 AM,33ʡF,56ʡ%,9ʡmph,30.38ʡin,0.0ʡin,Fair
01/07/2025,8:53 AM,34ʡF,56ʡ%,7ʡmph,30.40ʡin,0.0ʡin,Fair
01/07/2025,9:53 AM,38ʡF,51ʡ%,9ʡmph,30.42ʡin,0.0ʡin,Fair
01/07/2025,10:53 AM,40ʡF,49ʡ%,14ʡmph,30.41ʡin,0.0ʡin,Fair
01/07/2025,11:53 AM,42ʡF,45ʡ%,9ʡmph,30.41ʡin,0.0ʡin,Fair
01/07/2025,12:53 PM,44ʡF,43ʡ%,0ʡmph,30.39ʡin,0.0ʡin,Partly Cloudy
01/07/2025,1:53 PM,47ʡF,39ʡ%,7ʡmph,30.37ʡin,0.0ʡin,Partly Cloudy
01/07/2025,2:53 PM,49ʡF,36ʡ%,14ʡmph,30.33ʡin,0.0ʡin,Partly Cloudy
01/07/2025,3:53 PM,50ʡF,35ʡ%,13ʡmph,30.32ʡin,0.0ʡin,Partly Cloudy
01/07/2025,4:53 PM,51ʡF,35ʡ%,8ʡmph,30.32ʡin,0.0ʡin,Partly Cloudy
01/07/2025,5:53 PM,50ʡF,36ʡ%,7ʡmph,30.33ʡin,0.0ʡin,Partly Cloudy
01/07/2025,6:53 PM,48ʡF,41ʡ%,8ʡmph,30.35ʡin,0.0ʡin,Partly Cloudy
01/07/2025,7:53 PM,47ʡF,42ʡ%,14ʡmph,30.36ʡin,0.0ʡin,Mostly Cloudy
01/07/2025,8:53 PM,46ʡF,42ʡ%,9ʡmph,30.39ʡin,0.0ʡin,Mostly Cloudy
01/07/2025,9:53 PM,47ʡF,42ʡ%,12ʡmph,30.41ʡin,0.0ʡin,Mostly Cloudy
01/07/2025,10:53 PM,46ʡF,46ʡ%,8ʡmph,30.43ʡin,0.0ʡin,Cloudy
01/07/2025,11:53 PM,45ʡF,48ʡ%,14ʡmph,30.43ʡin,0.0ʡin,Cloudy
01/07/2025,12:53 AM,44ʡF,49ʡ%,9ʡmph,30.44ʡin,0.0ʡin,Cloudy
